latitude,longitude,Year,annual_avg_temp,annual_total_precip,annual_avg_wind_speed
51.5773,-3.7721,2020,11.477495,1973.1001,27.148827
51.578,-3.7777,2020,11.451496,1973.1001,27.148827
53.5633,-0.597,2020,10.508996,721.8,24.879877
53.5659,-0.5936,2020,10.502496,721.8,24.879877
51.5607,-3.7664,2020,11.4839945,1973.1001,27.148827
51.5669,-3.7707,2020,11.418996,1973.1001,27.148827
51.565,-3.7659,2020,11.477495,1973.1001,27.148827
51.5661,-3.7685,2020,11.477495,1973.1001,27.148827
56.7882,-2.9122,2020,7.3876767,1529.7001,20.739527
55.5044,-2.035,2020,8.154607,996.80005,23.157526
56.0996,-3.3019,2020,8.724752,1232.0,22.463524
51.5775,-3.7776,2020,11.451496,1973.1001,27.148827
51.5666,-3.7664,2020,11.4839945,1973.1001,27.148827
56.0982,-3.3091,2020,8.656629,1230.7001,21.725618
56.1001,-3.3077,2020,8.653254,1232.0,22.463524
56.0975,-3.3084,2020,8.75173,1119.7,23.621943
56.1006,-3.2977,2020,8.731253,1232.0,22.463524
56.0961,-3.3013,2020,8.5266285,1230.7001,21.725618
55.9356,-2.3997,2020,9.180348,980.19995,26.017834
56.097,-3.3004,2020,8.604629,1230.7001,21.725618
53.5676,-0.5926,2020,10.508996,721.8,24.879877
56.0996,-3.307,2020,8.711753,1232.0,22.463524
51.5636,-3.7694,2020,11.464496,1973.1001,27.148827
56.1001,-3.3043,2020,8.705254,1232.0,22.463524
54.3522,-0.8593,2020,8.232917,1041.2001,25.585703
56.0938,-3.2954,2020,8.474628,1230.7001,21.725618
56.0912,-3.3114,2020,8.507129,1230.7001,21.725618
53.5719,-0.5842,2020,10.386864,723.1,25.459658
51.5745,-3.7765,2020,11.464496,1973.1001,27.148827
53.5687,-0.5961,2020,10.542863,723.1,25.459658
56.0964,-3.3084,2020,8.61113,1230.7001,21.725618
55.525,-2.1908,2020,7.66681,1084.4,24.540215
53.5683,-0.5932,2020,10.523363,723.1,25.459658
57.185,-2.8939,2020,6.8164396,1025.0,22.12038
51.5691,-3.7659,2020,11.4839945,1973.1001,27.148827
57.3374,-3.7131,2020,7.768238,1001.80005,20.20162
57.0084,-3.1263,2020,6.905874,1297.4001,21.425407
57.3407,-3.726,2020,7.547238,1001.80005,20.20162
51.5675,-3.7699,2020,11.4839945,1973.1001,27.148827
51.0508,-2.461,2020,10.56615,1043.2001,24.080862
50.7519,-1.7098,2020,11.913876,919.9,27.476978
51.1873,-1.6736,2020,11.074566,942.30005,23.901127
51.421,-1.6131,2020,10.588121,1014.69995,25.30377
51.5692,-3.7683,2020,11.4839945,1973.1001,27.148827
51.9349,-2.0899,2020,11.171945,922.0,23.682638
52.1094,-1.9283,2020,11.184855,841.69995,23.199842
52.1373,-3.8627,2020,8.62894,1974.2,22.667665
52.1346,-3.8782,2020,8.739441,1974.2,22.667665
52.6842,-2.9605,2020,10.0702095,927.39996,21.94514
53.5621,-0.5915,2020,10.372496,721.8,24.879877
54.8155,-1.985,2020,7.416273,1364.5,26.280977
56.4171,-3.9105,2020,6.982458,1902.3999,19.592735
56.8364,-2.9254,2020,4.929451,1675.7999,21.466509
51.5678,-3.769,2020,11.4839945,1973.1001,27.148827
53.5827,-1.9125,2020,7.9447284,1430.3999,25.732294
53.5779,-1.9027,2020,7.7627273,1430.3999,25.732294
53.5907,-1.9044,2020,7.665228,1430.3999,25.732294
53.5912,-1.9118,2020,7.782228,1430.3999,25.732294
52.4564,0.5123,2020,11.33639,854.7,22.72536
51.8441,-3.8695,2020,8.142155,2392.0,22.245136
51.5636,-3.7668,2020,11.477495,1973.1001,27.148827
51.3146,1.3433,2020,11.9536,777.4,24.517727
51.3405,1.0987,2020,11.75638,715.4,24.348907
52.5548,0.5634,2020,11.234744,861.1,23.107101
52.6695,0.6329,2020,10.890103,864.3,23.896143
52.6671,0.6182,2020,10.948603,864.3,23.896143
52.9142,1.1878,2020,10.67891,772.7999,27.124405
52.8575,0.7593,2020,10.76586,877.0,24.657045
52.9065,0.8322,2020,10.72295,813.2,26.579342
52.9042,0.8175,2020,10.748951,813.2,26.579342
53.1389,0.2313,2020,10.895955,766.30005,26.156746
53.5662,-0.6024,2020,10.497238,697.6,24.795116
53.5662,-0.6045,2020,10.51024,697.6,24.795116
53.5624,-0.5858,2020,10.333496,721.8,24.879877
53.5657,-0.5906,2020,10.4699955,721.8,24.879877
53.1043,-2.4781,2020,10.381401,1000.0,22.51291
53.1011,-2.4614,2020,10.352356,1000.9,23.561865
53.0072,-4.2152,2020,7.7562695,3107.2002,22.673887
53.0045,-4.1993,2020,9.059146,3397.1,22.959076
52.0504,-4.0216,2020,9.687108,1838.3,21.695345
51.5631,-3.7683,2020,11.477495,1973.1001,27.148827
51.8174,-3.7833,2020,9.500653,2392.0,22.245136
51.6581,-3.6545,2020,9.115644,2155.5,24.451237
51.8192,-3.7658,2020,9.175654,2392.0,22.245136
52.1282,-3.8142,2020,8.4729395,1974.2,22.667665
52.1263,-3.8322,2020,8.96044,1974.2,22.667665
52.1399,-3.7991,2020,9.512939,1974.2,22.667665
52.138,-3.8172,2020,8.40794,1974.2,22.667665
52.193,-3.7846,2020,7.9570894,2030.8999,23.778822
52.1912,-3.8023,2020,8.548589,2030.8999,23.778822
53.3893,-1.4006,2020,10.259666,855.6001,24.084873
53.4007,-1.3839,2020,10.396166,855.6001,24.084873
53.5639,-0.5803,2020,10.216495,721.8,24.879877
53.5621,-0.6062,2020,10.555738,697.6,24.795116
55.4334,-2.3312,2020,7.730749,1151.4,24.700932
52.9905,-4.2115,2020,9.254147,3397.1,22.959076
52.2266,0.8617,2020,11.108506,711.9,24.840298
52.1518,-3.8425,2020,8.79144,1974.2,22.667665
51.8385,-3.9025,2020,8.233154,2392.0,22.245136
51.8263,-3.8594,2020,9.130155,2392.0,22.245136
53.3945,-1.3852,2020,10.324666,855.6001,24.084873
51.8305,-3.8701,2020,8.824655,2392.0,22.245136
51.8243,-3.8968,2020,9.286154,2392.0,22.245136
